0.1399	1.2600	17.5689	116.1094
0.1409	1.2776	17.6849	115.9745
0.1419	1.2954	17.8007	115.8396
0.1429	1.3132	17.9164	115.7046
0.1439	1.3312	18.0320	115.5697
0.1449	1.3493	18.1474	115.4348
0.1459	1.3675	18.2628	115.2999
0.1469	1.3858	18.3779	115.1649
0.1479	1.4042	18.4930	115.0300
0.1489	1.4228	18.6079	114.8951
0.1499	1.4414	18.7226	114.7601
0.1509	1.4602	18.8373	114.6252
0.1519	1.4791	18.9518	114.4903
0.1529	1.4981	19.0661	114.3553
0.1539	1.5172	19.1804	114.2204
0.1549	1.5364	19.2945	114.0855
0.1559	1.5557	19.4084	113.9505
0.1569	1.5752	19.5223	113.8156
0.1579	1.5948	19.6360	113.6807
0.1589	1.6145	19.7495	113.5457
0.1599	1.6343	19.8629	113.4108
0.1609	1.6542	19.9762	113.2759
0.1619	1.6742	20.0894	113.1409
0.1629	1.6943	20.2024	113.0060
0.1639	1.7146	20.3153	112.8711
0.1649	1.7349	20.4280	112.7361
0.1659	1.7554	20.5406	112.6012
0.1669	1.7760	20.6531	112.4663
0.1679	1.7967	20.7654	112.3313
0.1689	1.8175	20.8777	112.1964
0.1699	1.8384	20.9897	112.0615
0.1709	1.8595	21.1017	111.9265
0.1719	1.8806	21.2135	111.7916
0.1729	1.9019	21.3251	111.6567
0.1739	1.9232	21.4367	111.5217
0.1749	1.9447	21.5481	111.3868
0.1759	1.9663	21.6593	111.2519
0.1769	1.9880	21.7705	111.1169
0.1779	2.0098	21.8815	110.9820
0.1789	2.0318	21.9923	110.8471
0.1799	2.0538	22.1030	110.7121
0.1809	2.0759	22.2136	110.5772
0.1819	2.0982	22.3241	110.4423
0.1829	2.1206	22.4344	110.3073
0.1839	2.1430	22.5446	110.1724
0.1849	2.1656	22.6546	110.0375
0.1859	2.1883	22.7646	109.9025
0.1869	2.2111	22.8743	109.7676
0.1879	2.2341	22.9840	109.6327
0.1889	2.2571	23.0935	109.4978
0.1899	2.2802	23.2029	109.3628
0.1909	2.3035	23.3121	109.2279
0.1919	2.3268	23.4212	109.0930
0.1929	2.3503	23.5302	108.9580
0.1939	2.3739	23.6390	108.8231
0.1949	2.3975	23.7477	108.6882
0.1959	2.4213	23.8563	108.5532
0.1969	2.4452	23.9647	108.4183
0.1979	2.4692	24.0730	108.2834
0.1989	2.4933	24.1812	108.1484
0.1999	2.5176	24.2892	108.0135
0.2009	2.5419	24.3971	107.8786
0.2019	2.5663	24.5049	107.7436
0.2029	2.5909	24.6125	107.6087
0.2039	2.6155	24.7200	107.4738
0.2049	2.6403	24.8273	107.3388
0.2059	2.6652	24.9345	107.2039
0.2069	2.6901	25.0416	107.0690
0.2079	2.7152	25.1486	106.9340
0.2089	2.7404	25.2554	106.7991
0.2099	2.7657	25.3621	106.6642
0.2109	2.7911	25.4686	106.5292
0.2119	2.8166	25.5750	106.3943
0.2129	2.8422	25.6813	106.2594
0.2139	2.8680	25.7874	106.1244
0.2149	2.8938	25.8934	105.9895
0.2159	2.9197	25.9993	105.8546
0.2169	2.9458	26.1050	105.7196
0.2179	2.9719	26.2106	105.5847
0.2189	2.9982	26.3161	105.4498
0.2199	3.0245	26.4214	105.3148
0.2209	3.0510	26.5266	105.1799
0.2219	3.0775	26.6317	105.0450
0.2229	3.1042	26.7366	104.9100
0.2239	3.1310	26.8414	104.7751
0.2249	3.1579	26.9460	104.6402
0.2259	3.1849	27.0506	104.5052
0.2269	3.2119	27.1550	104.3703
0.2279	3.2391	27.2592	104.2354
0.2289	3.2664	27.3633	104.1004
0.2299	3.2938	27.4673	103.9655
0.2309	3.3213	27.5711	103.8306
0.2319	3.3489	27.6749	103.6957
0.2329	3.3767	27.7784	103.5607
0.2339	3.4045	27.8819	103.4258
0.2349	3.4324	27.9852	103.2909
0.2359	3.4604	28.0884	103.1559
0.2369	3.4885	28.1914	103.0210
0.2379	3.5168	28.2943	102.8861
0.2389	3.5451	28.3971	102.7511
0.2399	3.5735	28.4997	102.6162
0.2409	3.6021	28.6022	102.4813
0.2419	3.6307	28.7046	102.3463
0.2429	3.6595	28.8068	102.2114
0.2439	3.6883	28.9089	102.0765
0.2449	3.7172	29.0108	101.9415
0.2459	3.7463	29.1127	101.8066
0.2469	3.7754	29.2143	101.6717
0.2479	3.8047	29.3159	101.5367
0.2489	3.8340	29.4173	101.4018
0.2499	3.8635	29.5186	101.2669
0.2509	3.8931	29.6197	101.1319
0.2519	3.9227	29.7208	100.9970
0.2529	3.9525	29.8216	100.8621
0.2539	3.9823	29.9224	100.7271
0.2549	4.0123	30.0230	100.5922
0.2559	4.0423	30.1235	100.4573
0.2569	4.0725	30.2238	100.3223
0.2579	4.1028	30.3240	100.1874
0.2589	4.1331	30.4241	100.0525
0.2599	4.1636	30.5240	99.9175
0.2609	4.1941	30.6238	99.7826
0.2619	4.2248	30.7235	99.6477
0.2629	4.2555	30.8230	99.5127
0.2639	4.2864	30.9224	99.3778
0.2649	4.3174	31.0217	99.2429
0.2659	4.3484	31.1208	99.1079
0.2669	4.3796	31.2198	98.9730
0.2679	4.4108	31.3186	98.8381
0.2689	4.4422	31.4174	98.7031
0.2699	4.4736	31.5160	98.5682
0.2709	4.5052	31.6144	98.4333
0.2719	4.5368	31.7127	98.2984
0.2729	4.5686	31.8109	98.1634
0.2739	4.6004	31.9089	98.0285
0.2749	4.6324	32.0069	97.8936
0.2759	4.6644	32.1046	97.7586
0.2769	4.6965	32.2023	97.6237
0.2779	4.7288	32.2998	97.4888
0.2789	4.7611	32.3972	97.3538
0.2799	4.7935	32.4944	97.2189
0.2809	4.8261	32.5915	97.0840
0.2819	4.8587	32.6885	96.9490
0.2829	4.8914	32.7853	96.8141
0.2839	4.9242	32.8820	96.6792
0.2849	4.9571	32.9786	96.5442
0.2859	4.9901	33.0750	96.4093
0.2869	5.0233	33.1713	96.2744
0.2879	5.0565	33.2674	96.1394
0.2889	5.0898	33.3635	96.0045
0.2899	5.1231	33.4594	95.8696
0.2909	5.1566	33.5551	95.7346
0.2919	5.1902	33.6507	95.5997
0.2929	5.2239	33.7462	95.4648
0.2939	5.2577	33.8416	95.3298
0.2949	5.2916	33.9368	95.1949
0.2959	5.3255	34.0319	95.0600
0.2969	5.3596	34.1268	94.9250
0.2979	5.3937	34.2216	94.7901
0.2989	5.4280	34.3163	94.6552
0.2999	5.4623	34.4108	94.5202
0.3008	5.4968	34.5052	94.3853
0.3018	5.5313	34.5995	94.2504
0.3028	5.5659	34.6936	94.1154
0.3038	5.6007	34.7876	93.9805
0.3048	5.6355	34.8815	93.8456
0.3058	5.6704	34.9752	93.7106
0.3068	5.7054	35.0688	93.5757
0.3078	5.7405	35.1623	93.4408
0.3088	5.7757	35.2556	93.3058
0.3098	5.8110	35.3488	93.1709
0.3108	5.8464	35.4419	93.0360
0.3118	5.8818	35.5348	92.9010
0.3128	5.9174	35.6276	92.7661
0.3138	5.9530	35.7202	92.6312
0.3148	5.9888	35.8128	92.4963
0.3158	6.0246	35.9051	92.3613
